ID	PARAMETER_ID	CONCEPT	DOCULECT	LANGUAGE_NAME	VALUE	FORM	TOKENS	GLOTTOLOG	CONCEPTICON	LATITUDE	LONGITUDE	COGNACY	SONARS	PROSTRINGS	CLASSES	LANGID	NUMBERS	WEIGHTS	IPA	DUPLICATES	COGIDS	ALIGNMENT
47	969_i	I	Miju	Deng (Kaman) [Miju]	ki⁵³	ki⁵³	k i ⁵³	miju1243	1209	28.47	97.04		1 7 8	AXT	KI3	23	23.K.C 23.I.V 23.3.T	1.6 3.0 1.0	ki⁵³	0	4	k i - ⁵³
48	969_i	I	DigaroMishmi	Deng(Darang) [Taraon]	xɑŋ³⁵	xɑŋ³⁵	x ɑ ŋ ³⁵	diga1241	1209	28.5	96.88		3 7 4 8	AXLT	GAN2	7	7.G.C 7.A.V 7.N.c 7.2.T	1.6 3.0 1.1 1.0	xɑŋ³⁵	0	2	x ɑ ŋ ³⁵
49	969_i	I	IduMishmi	Lhoba (yidu) [Idu]	ŋɑ³⁵	ŋɑ³⁵	ŋ ɑ ³⁵	idum1241	1209	29.45	95.65		4 7 8	AXT	NA2	13	13.N.C 13.A.V 13.2.T	1.6 3.0 1.0	ŋɑ³⁵	0	1	ŋ - ɑ ³⁵
50	969_i	I	Bokar	Lhoba (Bokar) [Bokar]	ŋoː	ŋoː	ŋ oː	boka1249	1209	28.37	94.04		4 7	AX	NU	4	4.N.C 4.U.V	2.0 1.5	ŋoː	0	1	ŋ - oː -
51	969_i	I	Puroik	Luoba (Sulung) [Puroik]	goh⁵³	goh⁵³	g o h ⁵³	puro1234	1209	27.32	92.38		1 7 3 8	AXLT	KUH3	31	31.K.C 31.U.V 31.H.c 31.3.T	1.6 3.0 1.1 1.0	goh⁵³	0	4	g o h ⁵³
359	1003_neg	NEG	TibetanWritten	Tibetan (Written)	mi	mi	m i	clas1254	1240	29.24	92.01		4 7	AX	MI	39	39.M.C 39.I.V	2.0 1.5	mi	0	53	m i - -
360	1003_neg	NEG	TibetanLhasa	Tibetan (Lhasa)	ma¹³	ma¹³	m a ¹³	tibe1272	1240	28.37	90.19		4 7 8	AXT	MA2	38	38.M.C 38.A.V 38.2.T	1.6 3.0 1.0	ma¹³	0	53	m a - ¹³
361	1003_neg	NEG	TibetanDege	Tibetan (Dege)	ma¹³	ma¹³	m a ¹³	kham1282	1240	31.93	91.71		4 7 8	AXT	MA2	37	37.M.C 37.A.V 37.2.T	1.6 3.0 1.0	ma¹³	0	53	m a - ¹³
362	1003_neg	NEG	TibetanXiahe	Tibetan (Xiahe)	mə	mə	m ə	amdo1237	1240	34.52	100.48		4 7	AX	ME	40	40.M.C 40.E.V	2.0 1.5	mə	0	53	m ə - -
363	1003_neg	NEG	TibetanZeku	Tibetan (Zeku)	mi	mi	m i	amdo1237	1240	34.52	100.48		4 7	AX	MI	41	41.M.C 41.I.V	2.0 1.5	mi	0	53	m i - -
364	1003_neg	NEG	MenbaCuona	Menba (Cuona)	mᴀ¹³	mᴀ¹³	m a ¹³		1240				4 7 8	AXT	MA2	21	21.M.C 21.A.V 21.2.T	1.6 3.0 1.0	ma¹³	0	53	m a - ¹³
365	1003_neg	NEG	MenbaMotuo	Menba (Motuo)	ma	ma	m a		1240				4 7	AX	MA	22	22.M.C 22.A.V	2.0 1.5	ma	0	53	m a - -
366	1003_neg	NEG	QiangMawo	Qiang (Mawo)	ma	ma	m a	nort2722	1240	32.28	103.19		4 7	AX	MA	32	32.M.C 32.A.V	2.0 1.5	ma	0	53	m a - -
367	1003_neg	NEG	QiangTaoping	Qiang (Taoping)	mi⁵⁵	mi⁵⁵	m i ⁵⁵	sout2728	1240	31.54	103.38		4 7 8	AXT	MI5	33	33.M.C 33.I.V 33.5.T	1.6 3.0 1.0	mi⁵⁵	0	53	m i - ⁵⁵
368	1003_neg	NEG	PumiTaoba	Pumi (Taoba)	ma³⁵	ma³⁵	m a ³⁵	nort2723	1240	28.66	101.31		4 7 8	AXT	MA2	30	30.M.C 30.A.V 30.2.T	1.6 3.0 1.0	ma³⁵	0	53	m a - ³⁵
369	1003_neg	NEG	PumiQinghua	Pumi (Qinghua)	mɑ¹³	mɑ¹³	m ɑ ¹³	sout2729	1240	27.84	100.62		4 7 8	AXT	MA2	29	29.M.C 29.A.V 29.2.T	1.6 3.0 1.0	mɑ¹³	0	53	m ɑ - ¹³
