ID,Form_ID,Form,Cognateset_ID,Doubt,Cognate_Detection_Method,Source,Alignment,Alignment_Method,Alignment_Source
Nusu-981_this-1-1,Nusu-981_this-1,ɕi³¹_du³⁵,981_this-44,false,expert,Gao2020,,,
Derung-981_this-1-1,Derung-981_this-1,ɟɑ⁵⁵,981_this-45,false,expert,Gao2020,,,
Jingpho-981_this-1-1,Jingpho-981_this-1,n̩³³_tai³³,981_this-46,false,expert,Gao2020,,,
Miju-981_this-1-1,Miju-981_this-1,ɑn⁵⁵,981_this-47,false,expert,Gao2020,,,
DigaroMishmi-981_this-1-1,DigaroMishmi-981_this-1,e⁵⁵,981_this-48,false,expert,Gao2020,,,
IduMishmi-981_this-1-1,IduMishmi-981_this-1,i⁵⁵_he⁵⁵,981_this-48,false,expert,Gao2020,,,
Bokar-981_this-1-1,Bokar-981_this-1,ɕiː,981_this-30,false,expert,Gao2020,,,
Puroik-981_this-1-1,Puroik-981_this-1,həŋ³³,981_this-51,false,expert,Gao2020,,,
TibetanWritten-983_that-1-1,TibetanWritten-983_that-1,de,983_that-1,false,expert,Gao2020,,,
TibetanLhasa-983_that-1-1,TibetanLhasa-983_that-1,the¹³,983_that-1,false,expert,Gao2020,,,
TibetanDege-983_that-1-1,TibetanDege-983_that-1,phen⁵⁵_de⁵³,983_that-1,false,expert,Gao2020,,,
TibetanXiahe-983_that-1-1,TibetanXiahe-983_that-1,kan,983_that-4,false,expert,Gao2020,,,
TibetanZeku-983_that-1-1,TibetanZeku-983_that-1,ka,983_that-4,false,expert,Gao2020,,,
MenbaCuona-983_that-1-1,MenbaCuona-983_that-1,mo¹³,983_that-6,false,expert,Gao2020,,,
MenbaMotuo-983_that-1-1,MenbaMotuo-983_that-1,ʔu_ȵi,983_that-7,false,expert,Gao2020,,,
QiangMawo-983_that-1-1,QiangMawo-983_that-1,thaː,983_that-1,false,expert,Gao2020,,,
QiangTaoping-983_that-1-1,QiangTaoping-983_that-1,tha³³,983_that-1,false,expert,Gao2020,,,
PumiTaoba-983_that-1-1,PumiTaoba-983_that-1,ti³⁵,983_that-1,false,expert,Gao2020,,,
