SID	SWADESH	YAKHONTOV	ENGLISH	CHINESE	LANGUAGE	COGNATE	FORM	CONCEPTICON_ID	CONCEPTICON_GLOSS
983	5	83	that	那	22	22	nɑ⁵⁵ tʂhɿ⁵⁵ mɑ⁵⁵		
983	5	83	that	那	23	4	khɯ³³		
983	5	83	that	那	24	4	kɯ³³		
983	5	83	that	那	25	4	kɯ⁵⁵		
983	5	83	that	那	26	4	gɯ³³		
983	5	83	that	那	27	1	thɯ³³		
983	5	83	that	那	28	1	thv³³		
983	5	83	that	那	29	29	ai⁵⁵		
983	5	83	that	那	30	1	thø⁵⁵; ø⁵⁵		
983	5	83	that	那	31	1	thɔ⁵⁵		
983	5	83	that	那	32	32	o⁵³		
983	5	83	that	那	33	4	khɯ⁵⁵		
983	5	83	that	那	34	34	pɯ⁵⁵		
983	5	83	that	那	35	6	mɯ⁵⁵		
983	5	83	that	那	36	34	po⁴² tʂheɹ⁴²		
983	5	83	that	那	37	37	ai⁵⁵		
983	5	83	that	那	38	1	hto²		
983	5	83	that	那	39	1	hto²²		
983	5	83	that	那	40	1	the⁵⁵		
983	5	83	that	那	41	41	xje⁵¹		
983	5	83	that	那	42	1	thø³¹		
983	5	83	that	那	43	43	nɑ⁵⁵		
983	5	83	that	那	44	44	tɕhu⁵⁵		
983	5	83	that	那	45	4	kɔ⁵⁵		
983	5	83	that	那	46	1	tai³³		
983	5	83	that	那	47	12	wɑ̆n³⁵		
983	5	83	that	那	48	12	we⁵⁵		
983	5	83	that	那	49	49	ɑ⁵⁵ he⁵⁵		
983	5	83	that	那	50	49	aː		
983	5	83	that	那	51	51	ɟeh⁵³;la⁵³		
985	6	95	who	谁	1	1	su		
985	6	95	who	谁	2	1	su⁵³		
985	6	95	who	谁	3	1	shu⁵³		
985	6	95	who	谁	4	1	shə		
985	6	95	who	谁	5	1	shə		
985	6	95	who	谁	6	1	su⁵³		
985	6	95	who	谁	7	7	ʔi bi		
985	6	95	who	谁	8	1	sə		
985	6	95	who	谁	9	1	sɿ⁵⁵		
985	6	95	who	谁	10	1	xɛ⁵³		
985	6	95	who	谁	11	1	xɛ⁵⁵		
985	6	95	who	谁	12	1	sə		
985	6	95	who	谁	13	1	sɯ		
985	6	95	who	谁	14	1	ɦɛ³⁵ nɯ³³		
985	6	95	who	谁	15	15	li³⁵		
985	6	95	who	谁	16	1	sø⁵⁵		
985	6	95	who	谁	17	1	sɛ⁵⁵		
985	6	95	who	谁	18	18	khi⁵⁵		
985	6	95	who	谁	19	19	ȵi⁵⁵		
985	6	95	who	谁	20	18	kha⁴⁴ di³³		
985	6	95	who	谁	21	1	a³³ ɕe³³		
985	6	95	who	谁	22	1	ɑ²¹ sɑ²¹		
985	6	95	who	谁	23	1	ᴀ³³ se²¹		
985	6	95	who	谁	24	1	ᴀ²¹ si³³		
985	6	95	who	谁	25	1	ᴀ²¹ su³³		
985	6	95	who	谁	26	26	ɑ³¹ mɑ³³		
985	6	95	who	谁	27	19	ə³³ ne³¹		
985	6	95	who	谁	28	19	ni³¹ na⁵⁵		
985	6	95	who	谁	29	1	ɔ³¹ sv⁵⁵̩		
985	6	95	who	谁	30	1	a³¹ so⁵⁵		
985	6	95	who	谁	31	1	ɔ³¹ sv⁵⁵̩		
985	6	95	who	谁	32	1	ᴀ³³ su³³		
985	6	95	who	谁	33	1	khɔ³³ so³³		
985	6	95	who	谁	34	19	ɑ⁵⁵ nɑ⁴⁴ ȵi²¹		
985	6	95	who	谁	35	35	ɑ³¹ to²¹		
985	6	95	who	谁	36	26	ɑ⁵⁵ mɑ⁴⁴ ȵi²¹		
985	6	95	who	谁	37	1	a⁵⁵ sie²¹		
985	6	95	who	谁	38	38	mɑȵ² thu²		
985	6	95	who	谁	39	38	mji²² tθu²²		
985	6	95	who	谁	40	18	xau⁵⁵		
985	6	95	who	谁	41	18	o⁵⁵; kha⁵¹ juʔ²¹		
985	6	95	who	谁	42	18	khă³¹ jauk⁵⁵; khak⁵⁵		
985	6	95	who	谁	43	18	khɑ³¹ lu⁵⁵		
985	6	95	who	谁	44	18	khe³¹		
985	6	95	who	谁	45	26	ɑ³¹ mi⁵⁵		
985	6	95	who	谁	46	18	kă³¹ tai³³		
985	6	95	who	谁	47	19	ȵɑ⁵⁵		
985	6	95	who	谁	48	1	ɕɑ⁵⁵		
985	6	95	who	谁	49	1	ʔi⁵⁵ si⁵⁵		
985	6	95	who	谁	50	50	hɯː		
985	6	95	who	谁	51	50	ha³³		
986	7	93	what	什么	1	1	ga re		
986	7	93	what	什么	2	1	kha¹³ re¹³		
986	7	93	what	什么	3	3	tɕi⁵³		
986	7	93	what	什么	4	3	tɕhə zək		
986	7	93	what	什么	5	3	tɕhə zək		
986	7	93	what	什么	6	3	tsi¹³		
986	7	93	what	什么	7	7	haŋ		
986	7	93	what	什么	8	8	ȵi ka		
986	7	93	what	什么	9	8	na⁵⁵		
986	7	93	what	什么	10	10	me⁵³		
986	7	93	what	什么	11	10	mi⁵⁵		
986	7	93	what	什么	12	12	thə		
986	7	93	what	什么	13	3	a tɕhɯ		
986	7	93	what	什么	14	14	ɦɛ³³ zɯ⁵³		
986	7	93	what	什么	15	15	dɐ³⁵		
986	7	93	what	什么	16	3	tɕø⁵⁵		
986	7	93	what	什么	17	17	ɑ³³ ntɛ⁵⁵		
986	7	93	what	什么	18	18	fu⁵⁵		
986	7	93	what	什么	19	3	tɕhi³³ pɛi⁵³		
986	7	93	what	什么	20	20	ɕi⁴⁴		
986	7	93	what	什么	21	10	mɯ³³ lɯ³³		
986	7	93	what	什么	22	22	ɑ⁵⁵ tsɑ⁵⁵		
986	7	93	what	什么	23	10	ᴀ³³ tsᴀ³³ mo³³		
986	7	93	what	什么	24	10	ᴀ²¹ mi⁵⁵		
986	7	93	what	什么	25	25	ᴀ²¹ xɯ³³		
986	7	93	what	什么	26	25	ɑ⁵⁵ ʃɿ³¹		
986	7	93	what	什么	27	3	ə³¹ tsɯ³³		
986	7	93	what	什么	28	3	ɑ³³ tsɿ³³		
986	7	93	what	什么	29	25	xa⁵⁵ tse³¹		
986	7	93	what	什么	30	25	xa⁵⁵ dʑi̱³¹		
986	7	93	what	什么	31	31	ɔ³¹ tʃhɛ³³		
986	7	93	what	什么	32	10	ᴀ³¹ tho²¹ mᴀ³³		
986	7	93	what	什么	33	33	khuɛ³³		
986	7	93	what	什么	34	25	xe³¹ le³¹		
986	7	93	what	什么	35	35	ɑ⁵⁵ sɛ³¹̃		
986	7	93	what	什么	36	25	ɑ⁵⁵ xɑ̃⁴²		
986	7	93	what	什么	37	38	tɕhie⁵³ ɕi²¹		
986	7	93	what	什么	38	3	ɑ¹ bhɑj²		
986	7	93	what	什么	39	38	ɑ bɛ²²		
986	7	93	what	什么	40	38	pi³¹ si⁵⁵		
986	7	93	what	什么	41	25	xai⁵¹		
986	7	93	what	什么	42	38	pɛ̱⁵⁵		
986	7	93	what	什么	43	43	khɑ⁵⁵ tʂɿ³¹		
986	7	93	what	什么	44	10	tɕho⁵⁵ mɑ⁵⁵		
986	7	93	what	什么	45	12	tɑ̆ŋ⁵³		
